SchoolName;LastInspection;Permittee;InspectionDate;Level;Code;ViolationDescription;LATITUDE;LONGITUDE;COMMUNITYBOARD;COUNCILDISTRICT
P.S. / M.S. 114 BELLE HARBOR, P.S. Q256;03/09/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;07/14/2022;G;10B;"Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.";4,05783E+11;-7,38544E+13;414;32
P.S. / M.S. 114 BELLE HARBOR, P.S. Q256;03/09/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;03/09/2023;G;10F;Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.;4,05783E+11;-7,38544E+13;414;32
P.S. 101 THE VERRAZANO;01/18/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;03/08/2022;C;02G;Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.;4,05979E+11;-7,39917E+12;311;47
P.S. 101 THE VERRAZANO;01/18/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;01/18/2023;G;08A;Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.;4,05979E+11;-7,39917E+12;311;47
P.S. 101 THE VERRAZANO;01/18/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;01/18/2023;C;04L;Evidence of mice or live mice in establishment's food or non-food areas.;4,05979E+11;-7,39917E+12;311;47
P.S. 101 THE VERRAZANO;01/18/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;03/08/2022;G;10F;Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.;4,05979E+11;-7,39917E+12;311;47
P.S. 101 THE VERRAZANO;01/18/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;01/18/2023;G;09A;Swollen, leaking, rusted or otherwise damaged canned food to be returned to distributor not segregated from intact product and clearly labeled DO NOT USE;4,05979E+11;-7,39917E+12;311;47
P.S. 247 BROOKLYN;02/02/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;03/02/2022;C;02G;Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.;4,06123E+11;-7,39867E+13;311;47
P.S. 247 BROOKLYN;02/02/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;03/02/2022;G;10F;Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.;4,06123E+11;-7,39867E+13;311;47
P.S. 247 BROOKLYN;02/02/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;03/02/2022;G;10B;"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.";4,06123E+11;-7,39867E+13;311;47
