SchoolName,Borough,ZipCode,LastInspection,ViolationDescription
"47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL, P721M AT M047, THE 47 AMERICAN SIGN LANG",Manhattan,10010,01/23/2023,Evidence of mice or live mice in establishment's food or non-food areas.
A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,Manhattan,10031,01/31/2023,Evidence of mice or live mice in establishment's food or non-food areas.
ACHIEVEMENT FIRST BUSHWICK MIDDLE SCHOOL,Brooklyn,11237,12/09/2022,Evidence of mice or live mice present in facility's food and/or non-food areas.
ACHIEVEMENT FIRST UJIMA HS,Brooklyn,11207,03/14/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
AL-NOOR SCHOOL,Brooklyn,11232,12/07/2022,Evidence of mice or live mice in establishment's food or non-food areas.
AL-NOOR SCHOOL,Brooklyn,11232,12/07/2022,Evidence of mice or live mice present in facility's food and/or non-food areas.
AL-NOOR SCHOOL,Brooklyn,11232,12/07/2022,Evidence of mice or live mice present in facility's food and/or non-food areas.
"ALBERT SHANKER SCHOOL FOR VISUAL AND PERFORMING ARTS, THE 30TH AVENUE SCHOOL (G&T CITYWIDE) ANNEX",Queens,11106,01/20/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
"ALBERT SHANKER SCHOOL FOR VISUAL AND PERFORMING ARTS, THE 30TH AVENUE SCHOOL (G&T CITYWIDE) ANNEX",Queens,11106,01/20/2023,Evidence of mice or live mice in establishment's food or non-food areas.
ALBERT TUITT SENIOR EDUCATIONAL,Bronx,10466,02/13/2023,Evidence of mice or live mice in establishment's food or non-food areas.
ALMADRASA AL ISLAMIYA,Brooklyn,11220,02/16/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
ALMADRASA AL ISLAMIYA,Brooklyn,11220,02/16/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
AMBER CHARTER SCHOOL INWOOD,Manhattan,10034,01/23/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
ASSOCIATED BETH RIVKAH SCHOOLS,Brooklyn,11225,01/24/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
"AUTOMOTIVE HIGH SCHOOL YABC, AUTOMOTIVE HIGH SCHOOL",Brooklyn,11222,12/19/2022,Evidence of mice or live mice in establishment's food or non-food areas.
AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOOL,Queens,11101,03/08/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
