,Year,Code,count
120,2023,10F,381
121,2023,08A,205
122,2023,04L,191
123,2023,10B,162
124,2023,04A,64
125,2023,06C,63
126,2023,09A,41
127,2023,02G,38
128,2023,18-01,37
129,2023,06D,36
130,2023,10G,32
131,2023,08C,29
132,2023,04M,26
133,2023,05D,23
134,2023,10E,23
135,2023,10H,23
136,2023,04N,22
137,2023,02B,19
138,2023,10C,18
139,2023,20-04,17
140,2023,19-04,16
141,2023,04J,14
142,2023,09E,14
143,2023,10A,14
144,2023,28-03,14
145,2023,18-11,13
146,2023,09C,12
147,2023,04H,10
148,2023,06E,9
149,2023,06F,7
150,2023,04K,5
151,2023,06A,5
152,2023,08B,4
153,2023,10D,4
154,2023,05H,3
155,2023,09B,3
156,2023,16-02,3
157,2023,28-01,2
158,2023,03C,1
159,2023,16-06,1
160,2023,18-08,1
161,2023,03D,1
162,2023,06B,1
163,2023,05F,1
164,2023,02H,1
165,2023,02I,1
166,2023,04C,1
