Record ID;SchoolName;Number;Street;City;State;Borough;ZipCode;LastInspection;Permittee;InspectionDate;PTET;Site Type;Level;Code;ViolationDescription;LATITUDE;LONGITUDE;COMMUNITYBOARD;COUNCILDISTRICT;CENSUSTRACT;BIN;BBL;NTA;BOROCODE
40542839;P.S. 127 MCKINLEY PARK, RALPH A. FABRIZIO SCHOOL ANNEX;7805;7 AVENUE;Brooklyn;NY;Brooklyn;11228;2/2/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;07/28/2022;2530;FSE (Public School Cafeteria);;;;4,06E+13;-7,40E+13;310;43;20600;3150481;3059730001;BK30;3
40736086;BAIS YITZHAK SCHOOL;141315;45 STREET;BROOKLYN;NY;Brooklyn;;02/15/2023;CONGREGATION KHAL CHASIDEI SKWERE - BAIS YITZAK YESHIVA;3/1/2022;2533;FSE (Private School Cafeteria - Not-For-Profit);G;10A;Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.;0;0;;;;;3;;3
40542116;P.S. 135 SHELDON A. BROOKNER;684;LINDEN BOULEVARD;Brooklyn;NY;Brooklyn;11203;01/23/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;11/17/2022;2530;FSE (Public School Cafeteria);C;04A;Food Protection Certificate (FPC) not held by manager or supervisor of food operations.;4,07E+13;-7,39E+13;317;41;87000;3102005;3046730001;BK91;3
40542900;PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE, LEARNING TO WORK YABC AT MONROE ACADEMY, THE METRO;1300;BOYNTON AVENUE;Bronx;NY;Bronx;10472;3/9/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;3/9/2023;2530;FSE (Public School Cafeteria);C;04L;Evidence of mice or live mice in establishment's food or non-food areas.;4,08E+13;-7,39E+13;209;18;5600;2027459;2038640001;BX08;2
40541560;PS811M @ PS 149M, SUCCESS ACADEMY CHARTER-HARLEM 1;34;WEST  118 STREET;New York;NY;Manhattan;10026;01/31/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;8/1/2022;2530;FSE (Public School Cafeteria);C;04M;Live roaches in facility's food or non-food area.;4,08E+13;-7,39E+13;110;9;19000;1051434;1016010001;MN11;1
40542147;P.S. 244 RICHARD R. GREEN, BROOKLYN SCIENCE AND ENGINEERING ACADEMY;5400;TILDEN AVENUE;Brooklyn;NY;Brooklyn;11203;01/23/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;07/19/2022;2530;FSE (Public School Cafeteria);C;04L;Evidence of mice or live mice in establishment's food or non-food areas.;4,06E+13;-7,39E+13;317;45;94600;3104513;3047390001;BK96;3
40541310;P.S. 183 DR. RICHARD R. GREEN;245;BEACH 79 STREET;Far Rockaway;NY;Queens;11693;3/6/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;07/14/2022;2530;FSE (Public School Cafeteria);G;10F;Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.;4,06E+13;-7,38E+13;414;31;94202;4303354;4161120001;QN12;4
50113383;BEDFORD STUYVESANT NEW BEGINNING CHARTER SCHOOL;82;LEWIS AVENUE;Brooklyn;NY;Brooklyn;11206;3/9/2023;SLA MANAGEMENT INC;12/9/2021;2529;FSE (Private School Cafeteria - For Profit);;;;4,07E+13;-7,39E+13;303;36;28300;3043017;3015910045;BK35;3
50082553;CHALLENGE PREPARATORY MIDDLE CHARTER SCHOOL;1526;CENTRAL AVE;FAR ROCKAWAY;NY;Queens;11691;10/27/2022;NEW YORK CITY DEPARTMENT OF EDUCATION;10/27/2022;2531;FSE (Private School Cafeteria);;;;4,06E+12;-7,38E+12;414;31;103202;4297966;4155370137;QN15;4
50047517;ROCHDALE EARLY ADVANTAGE CHARTER SCHOOL;11051;GUY R BREWER BOULEVARD;JAMAICA;NY;Queens;11433;10/24/2022;ROCHDALE EARLY ADVANTAGE CHARTER SCHOOL;02/18/2022;2533;FSE (Private School Cafeteria - Not-For-Profit);C;02G;Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.;4,07E+13;-7,38E+12;412;27;26400;4000000;4101920001;QN01;4
40542973;P.S. 175 CITY ISLAND;200;CITY ISLAND AVENUE;Bronx;NY;Bronx;10464;07/19/2022;NEW YORK CITY DEPARTMENT OF EDUCATION;4/11/2022;2530;FSE (Public School Cafeteria);;;;4,08E+13;-7,38E+13;210;13;51600;2082444;2056410280;BX10;2
41218279;CAMBRIA CENTER FOR THE GIFTED CHILD;23310;LINDEN BOULEVARD;CAMBRIA HTS;NY;Queens;11411;01/13/2023;CAMBRIA ACADEMY GIFTED LTD;3/1/2021;2529;FSE (Private School Cafeteria - For Profit);;;;4,07E+13;-7,37E+13;413;27;62200;4274720;4127500005;QN33;4
50015686;GED PLUS - CITYWIDE;88;VISITATION PLACE;Brooklyn;NY;Brooklyn;11231;10/4/2022;NEW YORK CITY DEPARTMENT OF EDUCATION;10/4/2022;2530;FSE (Public School Cafeteria);C;04A;Food Protection Certificate (FPC) not held by manager or supervisor of food operations.;4,07E+13;-7,40E+13;306;38;5900;3331865;3005300013;BK33;3
40542774;INTERNATIONAL ART AND BUSINESS HS;600;KINGSTON AVENUE;Brooklyn;NY;Brooklyn;11203;03/22/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;8/3/2021;2530;FSE (Public School Cafeteria);C;02G;Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.;4,07E+13;-7,39E+13;309;40;81000;3107227;3048110001;BK60;3
41171740;UNITED TALMUDICAL ACADEMY;590;BEDFORD AVENUE;Brooklyn;NY;Brooklyn;11249;03/22/2023;TALMUDICAL ACAD UNITED;06/24/2021;2533;FSE (Private School Cafeteria - Not-For-Profit);G;10B;"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.";4,07E+13;-7,40E+13;301;33;53900;3060113;3021920050;BK72;3
40543628;P.S. 022 GRANITEVILLE;1860;FOREST AVENUE;NULL;NY;Staten Island;10303;01/17/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;4/7/2022;2530;FSE (Public School Cafeteria);G;10F;Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.;4,06E+13;-7,42E+13;501;49;30302;5107239;5017060001;SI12;5
